Codepoint,Trans,IPA,Unicode Name
E070,xd,,MUSA DOT
E071,ar,˩˧,MUSA LOW RISING ACCENT
E072,al,˨,MUSA LOW LEVEL ACCENT
E073,af,˧˩,MUSA LOW FALLING ACCENT
E074,ar_hi,˧˥,MUSA HIGH RISING ACCENT
E075,ar_ar,?,MUSA DOUBLE RISING ACCENT
E076,ar_al,˩˥˧,MUSA RISE FALLING FINAL ACCENT
E077,ar_af,˩˥˧,MUSA RISE FALLING ACCENT
E078,al_hi,˦,MUSA HIGH LEVEL ACCENT
E079,al_ar,˧˥,MUSA HIGH RISING FINAL ACCENT
E07A,al_al,.,MUSA DOUBLE LEVEL ACCENT
E07B,al_af,˥˩˧,MUSA FALL RISING FINAL ACCENT
E07C,af_hi,˥˧,MUSA HIGH FALLING ACCENT
E07D,af_ar,˥˩˧,MUSA FALL RISING ACCENT
E07E,af_al,˥˧,MUSA HIGH FALLING FINAL ACCENT
E07F,af_af,!,MUSA DOUBLE FALLING ACCENT
E080,xl_hi,ː,MUSA HIGH LONG MARK
E081,xl_ar,[,MUSA SUM SYMBOL
E082,xl_al,-,MUSA SUBTRACTION SYMBOL
E083,xl_af,],MUSA ADDITION SYMBOL
E084,xl,ː,MUSA LOW LONG MARK
E085,xl_ar,(,MUSA MULTIPLICATION SYMBOL
E086,xl_al,÷,MUSA DIVISION SYMBOL
E087,xl_af,),MUSA PRODUCT SYMBOL
E088,i_hi,i ɪ,MUSA HIGH CLOSE FRONT SPREAD VOWEL
E089,i_ar,,MUSA HIGH RISING CLOSE FRONT SPREAD VOWEL
E08A,i_al,,MUSA HIGH LEVEL CLOSE FRONT SPREAD VOWEL
E08B,i_af,,MUSA HIGH FALLING CLOSE FRONT SPREAD VOWEL
E08C,i,,MUSA LOW CLOSE FRONT SPREAD VOWEL
E08D,ar_i,,MUSA LOW RISING CLOSE FRONT SPREAD VOWEL
E08E,al_i,,MUSA LOW LEVEL CLOSE FRONT SPREAD VOWEL
E08F,af_i,,MUSA LOW FALLING CLOSE FRONT SPREAD VOWEL
E090,ee_hi,e,MUSA HIGH CLOSE-MID FRONT SPREAD VOWEL
E091,ee_ar,,MUSA HIGH RISING CLOSE-MID FRONT SPREAD VOWEL
E092,ee_al,,MUSA HIGH LEVEL CLOSE-MID FRONT SPREAD VOWEL
E093,ee_af,,MUSA HIGH FALLING CLOSE-MID FRONT SPREAD VOWEL
E094,ee,,MUSA LOW CLOSE-MID FRONT SPREAD VOWEL
E095,ar_ee,,MUSA LOW RISING CLOSE-MID FRONT SPREAD VOWEL
E096,al_ee,,MUSA LOW LEVEL CLOSE-MID FRONT SPREAD VOWEL
E097,af_ee,,MUSA LOW FALLING CLOSE-MID FRONT SPREAD VOWEL
E098,e_hi,ɛ,MUSA HIGH OPEN-MID FRONT SPREAD VOWEL
E099,e_ar,,MUSA HIGH RISING OPEN-MID FRONT SPREAD VOWEL
E09A,e_al,,MUSA HIGH LEVEL OPEN-MID FRONT SPREAD VOWEL
E09B,e_af,,MUSA HIGH FALLING OPEN-MID FRONT SPREAD VOWEL
E09C,e,,MUSA LOW OPEN-MID FRONT SPREAD VOWEL
E09D,ar_e,,MUSA LOW RISING OPEN-MID FRONT SPREAD VOWEL
E09E,al_e,,MUSA LOW LEVEL OPEN-MID FRONT SPREAD VOWEL
E09F,af_e,,MUSA LOW FALLING OPEN-MID FRONT SPREAD VOWEL
E0A0,ae_hi,æ,MUSA HIGH OPEN FRONT SPREAD VOWEL
E0A1,ae_ar,,MUSA HIGH RISING OPEN FRONT SPREAD VOWEL
E0A2,ae_al,,MUSA HIGH LEVEL OPEN FRONT SPREAD VOWEL
E0A3,ae_af,,MUSA HIGH FALLING OPEN FRONT SPREAD VOWEL
E0A4,ae,,MUSA LOW OPEN FRONT SPREAD VOWEL
E0A5,ar_ae,,MUSA LOW RISING OPEN FRONT SPREAD VOWEL
E0A6,al_ae,,MUSA LOW LEVEL OPEN FRONT SPREAD VOWEL
E0A7,af_ae,,MUSA LOW FALLING OPEN FRONT SPREAD VOWEL
E0A8,xn_hi,˜,MUSA HIGH NASAL
E0A9,xn_ar,,MUSA HIGH RISING NASAL
E0AA,xn_al,,MUSA HIGH LEVEL NASAL
E0AB,xn_af,,MUSA HIGH FALLING NASAL
E0AC,xn,,MUSA LOW NASAL
E0AD,ar_xn,,MUSA LOW RISING NASAL
E0AE,al_xn,,MUSA LOW LEVEL NASAL
E0AF,af_xn,,MUSA LOW FALLING NASAL
E0B0,ih_hi,ɨ ɯ,MUSA HIGH CLOSE BACK SPREAD VOWEL
E0B1,ih_ar,,MUSA HIGH RISING CLOSE BACK SPREAD VOWEL
E0B2,ih_al,,MUSA HIGH LEVEL CLOSE BACK SPREAD VOWEL
E0B3,ih_af,,MUSA HIGH FALLING CLOSE BACK SPREAD VOWEL
E0B4,ih,,MUSA LOW CLOSE BACK SPREAD VOWEL
E0B5,ar_ih,,MUSA LOW RISING CLOSE BACK SPREAD VOWEL
E0B6,al_ih,,MUSA LOW LEVEL CLOSE BACK SPREAD VOWEL
E0B7,af_ih,,MUSA LOW FALLING CLOSE BACK SPREAD VOWEL
E0B8,eh_hi,ə ɐ,MUSA HIGH MID BACK SPREAD VOWEL
E0B9,eh_ar,,MUSA HIGH RISING MID BACK SPREAD VOWEL
E0BA,eh_al,,MUSA HIGH LEVEL MID BACK SPREAD VOWEL
E0BB,eh_af,,MUSA HIGH FALLING MID BACK SPREAD VOWEL
E0BC,eh,,MUSA LOW MID BACK SPREAD VOWEL
E0BD,ar_eh,,MUSA LOW RISING MID BACK SPREAD VOWEL
E0BE,al_eh,,MUSA LOW LEVEL MID BACK SPREAD VOWEL
E0BF,af_eh,,MUSA LOW FALLING MID BACK SPREAD VOWEL
E0C0,oe_hi,ø ɵ œ ɞ,MUSA HIGH MID FRONT ROUND VOWEL
E0C1,oe_ar,,MUSA HIGH RISING MID FRONT ROUND VOWEL
E0C2,oe_al,,MUSA HIGH LEVEL MID FRONT ROUND VOWEL
E0C3,oe_af,,MUSA HIGH FALLING MID FRONT ROUND VOWEL
E0C4,oe,,MUSA LOW MID FRONT ROUND VOWEL
E0C5,ar_oe,,MUSA LOW RISING MID FRONT ROUND VOWEL
E0C6,al_oe,,MUSA LOW LEVEL MID FRONT ROUND VOWEL
E0C7,af_oe,,MUSA LOW FALLING MID FRONT ROUND VOWEL
E0C8,a_hi,a,MUSA HIGH OPEN BACK SPREAD VOWEL
E0C9,a_ar,,MUSA HIGH RISING OPEN BACK SPREAD VOWEL
E0CA,a_al,,MUSA HIGH LEVEL OPEN BACK SPREAD VOWEL
E0CB,a_af,,MUSA HIGH FALLING OPEN BACK SPREAD VOWEL
E0CC,a,,MUSA LOW OPEN BACK SPREAD VOWEL
E0CD,ar_a,,MUSA LOW RISING OPEN BACK SPREAD VOWEL
